Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
2UA8291Q31	lveidenh	SMG644A-1	Microsoft Windows 7 Professional		5/19/2016 1:49	Hewlett-Packard	HP xw4600 Workstation	AD\lveidenh	7/23/2008 0:00	8/26/2013 0:00	earlride	Primary		
MJ46M23	qstla	QST-WD-0038	Microsoft Windows 7 Professional x64	333	5/28/2016 19:21	LENOVO	36901K3	AD\qstla	6/21/2013 0:00	6/10/2017 0:00	gdefronz	shared		333
MJ761ZG	maehood	QST-WD-0059	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:46	LENOVO	36901K3	AD\dgenkin	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762AX	jacobom	QST-WD-0057	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:45	LENOVO	36901K3	AD\ttchz	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA8291Q1F	davweil	SMG520A-1	Microsoft Windows 7 Enterprise x64		8/31/2015 9:37	Hewlett-Packard	HP xw4600 Workstation	AD\davweil	7/23/2008 0:00	8/26/2013 0:00	davweil	Primary		
MJAPNMN	smgblab	QST-BSR-WD-0015	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:24	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJZRBCW	camphil	SMG504A-2	Microsoft Windows 7 Enterprise x64		5/13/2016 0:55	LENOVO	3212BJ7	AD\camphil	1/21/2013 0:00	1/11/2017 0:00	camphil	Primary	This desktop was moved from room 502D (SMG502D)	
MJ761YH	sxiang	QST-WD-0047	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:13	LENOVO	36901K3	AD\dilinip	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ761ZV	Administrator	QST-WD-0341	Microsoft Windows 10 Enterprise x64	636A	5/11/2016 12:32	LENOVO	36901K3	.\Administrator	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJRALKD	anamini	SMG548E-1	Microsoft Windows 7 Enterprise x64		2/11/2016 9:15	LENOVO	4223CTO	AD\anamini	11/30/-001 00:00:00	11/30/-001 00:00:00	anamini	Primary		
MJ761XW	smgguest	QST-WD-0014	Microsoft Windows 7 Professional x64	636A	7/17/2015 8:14	LENOVO	36901K3	AD\smgguest	5/25/2013 0:00	5/14/2017 0:00	gdefronz	Reserve		636A
MJ762AK	sbrankov	QST-WD-0009	Microsoft Windows 7 Professional x64	636A	7/17/2015 8:57	LENOVO	36901K3	AD\sbrankov	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA0300PQY	mlynd	QST-WD-0313	Microsoft Windows 7 Enterprise x64	630 D	12/21/2015 7:36	Hewlett-Packard	HP Z600 Workstation	AD\mlynd	7/29/2010 0:00	7/28/2015 0:00	gdefronz	Shared		630 D
CND045064K	jrdixon	SMG661ALT	Microsoft Windows 7 Professional		5/28/2016 19:00	Hewlett-Packard	HP EliteBook 8440p	AD\jrdixon	11/12/2010 0:00	11/11/2014 0:00	jrdixon	Secondary		
MJ761XV	mattreis	QST-WD-0310	Microsoft Windows 7 Enterprise x64	328	5/13/2016 20:12	LENOVO	36901K3	AD\mattreis	5/25/2013 0:00	5/14/2017 0:00	gdefronz	Computer Lab		328
2UA8291Q2P	smgarws	QST-WD-0234	Microsoft Windows 7 Professional	504	5/28/2016 19:21	Hewlett-Packard	HP xw4600 Workstation	AD\smgarws	7/23/2008 0:00	8/26/2013 0:00	mbda	Shared		504
MJ761ZH	kmatth	QST-WD-0054	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:37	LENOVO	36901K3	AD\jaeda	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA05023JZ	kconroy	SMG629-7	Microsoft Windows 7 Professional x64		5/6/2016 1:27	Hewlett-Packard	HP Z200 Workstation	AD\kconroy	12/21/2010 0:00	1/24/2016 0:00	kconroy	Primary		
MJ99T9T	smgblab	QST-BSR-WD-0014	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	5/26/2016 4:58	LENOVO	2756B53	QST-BSR-WD-0014\istds-admin	9/1/2013 0:00	8/21/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
