Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
MJPBXNE	questromgpows	QST-WD-0268	Microsoft Windows 7 Enterprise x64	104	11/16/2015 15:11	LENOVO	4524AY5	AD\questromgpows	7/5/2012 0:00	6/25/2016 0:00	normanb	Shared		104
D25Q51HGFY11	tvellner	QST-MD-0109	Mac OS X 10.10.5 (x86_64)	510D	5/27/2016 12:36	"Apple, Inc."	"iMac15,1"		4/8/2011 0:00	4/7/2014 0:00	tvellner	Primary		510D
R9F42K9	rnichols	SMG648LT-1	Microsoft Windows 7 Professional x64		5/26/2016 14:03	LENOVO	4243C13	AD\rnichols	7/29/2011 0:00	7/28/2015 0:00	rnichols	Primary		
2UA1020JLH	rbaird8	SMG553-1	Microsoft Windows 7 Professional		5/27/2016 15:05	Hewlett-Packard	HP Z200 Workstation	AD\rbaird8	1/13/2011 0:00	2/11/2016 0:00	rbaird8	Primary		
MJWZXEO	mlynd	SMG630D-3	Microsoft Windows 8 Enterprise x64	630 D	5/28/2016 19:05	LENOVO	4524A61	AD\bhshin	6/6/2011 0:00	6/15/2015 0:00	gdefronz	Shared		630 D
R8M3YZF	smgcloud	SMGLOANERLT-14	Microsoft Windows 7 Enterprise x64	340	7/7/2015 15:31	LENOVO	4236GG9	AD\smgcloud	7/10/2011 0:00	7/9/2015 0:00	cbarrett	Loaner		340
C02KGQ4XDNCV	janelle	SMG669AMAC-1	Mac OS X 10.8.5 (x86_64)		5/28/2016 18:54	"Apple, Inc."	"iMac13,2"		6/29/2013 0:00	6/28/2016 0:00	jheineke	Secondary		
R9W1P56	scjarvis	QST-WL-0249	Microsoft Windows 7 Enterprise x64		5/27/2016 10:31	LENOVO	2355BE3	AD\scjarvis	12/21/2012 0:00	12/11/2016 0:00	scjarvis	Primary		
MJPBXMZ	ali1	SMG616A-1	Microsoft Windows 7 Enterprise x64		8/27/2015 14:45	LENOVO	4524AY5	AD\ali1	7/5/2012 0:00	6/25/2016 0:00	rcovino	Reserve		
C02KVFLZF6T6	mbda	QST-ML-0220	Mac OS X 10.11.3 (x86_64)		4/9/2016 17:32	"Apple, Inc."	"MacBookAir6,2"		6/30/2013 0:00	6/29/2016 0:00	mbda	Secondary		
R9V6N0F	mshwartz	QST-WL-0243	Microsoft Windows 7 Enterprise x64		4/19/2016 7:41	LENOVO	2355BE3	AD\mshwartz	11/7/2012 0:00	11/7/2016 0:00	mshwartz	Secondary		
R9PD3AW	smgcloud	SMGLOANERLT-24	Microsoft Windows 7 Enterprise x64	340	9/7/2015 22:16	LENOVO	4174GD4	AD\smgcloud	6/21/2012 0:00	6/11/2016 0:00	cbarrett	Loaner		340
LR1H5RE	kesslerr	SMG326LT-42	Microsoft Windows 7 Professional x64	340 E	3/2/2016 3:14	LENOVO	05962RU	AD\kesslerr	11/30/2011 0:00	11/29/2012 0:00	cbarrett	Loaner		340 E
MJAPNMP	smgblab	QST-BSR-WD-0009	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	5/26/2016 5:24	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
2UA8291Q36	mbenaroc	QST-WD-0218	Microsoft Windows 7 Professional	502E	5/28/2016 18:38	Hewlett-Packard	HP xw4600 Workstation	AD\mbenaroc	7/23/2008 0:00	8/26/2013 0:00	zbodie	Primary		502E
PK0P9T2	smgblab	QST-BSR-WL-0003	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	5/28/2016 18:44	LENOVO	2355BE3	AD\smgblab	8/27/2013 0:00	8/26/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
D25FN0U9DHJV	smgla	SMG509MAC-1	Mac OS X 10.6.8 (x86_64)	509	6/13/2015 20:14	"Apple, Inc."	"iMac12,2"		5/6/2011 0:00	5/5/2014 0:00	gdefronz	Shared		509
MJ49E1M	munsell	SMG642-1	Microsoft Windows 7 Enterprise x64		5/26/2016 17:36	LENOVO	3212BJ7	AD\munsell	8/3/2013 0:00	7/23/2017 0:00	munsell	Primary		
C02KH0H4DRV9	arman	SMG651AMACLT-1	Mac OS X 10.8.5 (x86_64)		5/28/2016 19:49	"Apple, Inc."	"MacBookAir5,1"		4/11/2013 0:00	4/10/2016 0:00	samina	Primary		
2UA8291Q32	sogut	SMG664-1	Microsoft Windows 7 Enterprise x64	644	5/27/2016 12:18	Hewlett-Packard	HP xw4600 Workstation	AD\sogut	7/23/2008 0:00	8/26/2013 0:00	bickart	Shared		644
MJRLVLT	dkurt	SMG611-1	Microsoft Windows 7 Professional x64		5/28/2016 19:00	LENOVO	3212AV7	AD\dkurt	8/21/2012 0:00	8/11/2016 0:00	dkurt	Primary		
MJ761ZL	ivankap	QST-WD-0282	Microsoft Windows 7 Professional x64		4/21/2016 2:00	LENOVO	36901K3	AD\ivankap	5/26/2013 0:00	5/15/2017 0:00	ivankap	Primary		
PK0CP7M	qstcloud	SMGLOANERLT-26	Microsoft Windows 7 Enterprise x64	340	5/7/2016 11:24	LENOVO	2355BE3	AD\qstcloud	8/12/2013 0:00	8/11/2017 0:00	cbarrett	Loaner		340
2CE930BCRP	jhibbard	QST-WL-0061	Microsoft Windows 7 Professional x64	340 E	12/15/2015 9:59	Hewlett-Packard	HP EliteBook 6930p	AD\jhibbard	8/4/2014 0:00	8/10/2013 0:00	cbarrett	Loaner		340 E
R9F4355	qstcloud	QST-WL-0049	Microsoft Windows 7 Professional x64	340 E	5/10/2016 0:16	LENOVO	4243C13	AD\qstcloud	7/29/2011 0:00	8/7/2015 0:00	cbarrett	Loaner		340 E
R8M3YZD	qstcloud	SMGLOANERLT-11	Microsoft Windows 7 Professional x64	340	4/8/2016 10:22	LENOVO	4236GG9	AD\qstcloud	7/10/2011 0:00	7/9/2015 0:00	cbarrett	Loaner		340
2UA05023JV	Steve	SMG629-10	Microsoft Windows 8.1 Pro x64		10/16/2015 14:40	Hewlett-Packard	HP Z200 Workstation	SMG629-10\Steve	12/21/2010 0:00	1/24/2016 0:00	stevexyc	Primary		
R9PDDV6	smguser	SMGLOANERLT-20	Microsoft Windows 7 Enterprise x64	340	5/28/2016 11:47	LENOVO	4243FW3	AD\smguser	6/10/2012 0:00	6/10/2016 0:00	cbarrett	Loaner		340
MJ86WT7	pstation	QST-WK-0004	Microsoft Windows 10 Enterprise x64	427	5/28/2016 19:05	LENOVO	3212BJ7	AD\pstation	10/28/2013 0:00	10/17/2017 0:00	gdefronz	Kiosk		427
R9E77XG	gmpowers	QST-WL-0050	Microsoft Windows 7 Enterprise x64	340 E	5/26/2016 8:27	LENOVO	4174BW7	AD\qstcloud	6/15/2011 0:00	6/24/2015 0:00	cbarrett	Loaner		340 E
FSZZQF1	istds-admin	SMG668-1	Microsoft Windows 7 Enterprise x64		5/27/2016 18:45	Dell Inc.	OptiPlex 755	SMG668-1\istds-admin	2/27/2009 0:00	2/27/2013 0:00	bmarks	Shared		
C02LL4LPF6T6	jheineke	SMG669AMACLT-1	Mac OS X 10.9.5 (x86_64)		5/27/2016 20:57	"Apple, Inc."	"MacBookAir6,2"		10/28/2013 0:00	10/27/2016 0:00	jheineke	Secondary		
67822334153	Gmeri	QST-WL-0241	Microsoft Windows 10 Pro x64	615B	5/27/2016 17:27	Microsoft Corporation	Surface Pro 2	.\Gmeri	1/16/2014 0:00	1/15/2015 0:00	kericson	Secondary		615B
W80362ZJAGX	ssamuels	SMG643ALT-1	Microsoft Windows 7 Enterprise x64	643A	6/4/2015 23:44	Apple Inc.	"MacBookPro6,2"	AD\ssamuels	9/6/2010 0:00	9/5/2013 0:00	ssamuels	Secondary		643A
Parallels-7F F9 B3 9D 28 EA 4B 36 A0 B9 84 A4 14 32 A9 9C	istds-admin	SMG630ELT	Microsoft Windows 7 Professional x64		3/27/2015 11:40	Parallels Software International Inc.	Parallels Virtual Platform	SMG630ELT\istds-admin	11/30/-001 00:00:00	11/30/-001 00:00:00	seaholm	Secondary		
CXYL8Z1	pcortes	SMG639-1	Microsoft Windows 7 Professional x64		4/15/2016 1:34	Dell Inc.	Precision T5600	AD\pcortes	10/23/2013 0:00	10/24/2016 0:00	pcortes	Primary		
MJYWGX8	smgguest	SMG630-1	Microsoft Windows 7 Professional x64	630	12/14/2015 14:20	LENOVO	4524A61	AD\smgguest	7/2/2011 0:00	7/1/2015 0:00	firefox	Shared		630
LR1H5MG	smgcloud	SMG326LT-40	Microsoft Windows 7 Professional x64	340 E	5/3/2016 11:04	LENOVO	05962RU	AD\smgcloud	11/30/2011 0:00	11/29/2012 0:00	cbarrett	Loaner		340 E
PF00603Y	qstcloud	QST-WL-0051	Microsoft Windows 7 Enterprise x64	340E	5/27/2016 9:07	LENOVO	20ARCTO1WW	AD\qstcloud	11/30/-001 00:00:00	11/30/-001 00:00:00	cbarrett	Computer Lab		340E
2UA8500SXN	bmarks	SMG662-2	Microsoft Windows 7 Professional		5/28/2016 18:56	Hewlett-Packard	HP xw4600 Workstation	AD\bmarks	12/12/2008 0:00	1/5/2014 0:00	bmarks	Primary	SMG662-3	
MJ19TYL	dvariti	QST-WD-0287	Microsoft Windows 7 Professional x64		4/21/2016 1:43	LENOVO	3212BJ7	AD\dvariti	12/9/2013 0:00	11/28/2017 0:00	dvariti	Primary		
MJ19TYP	suschkiv	QST-WD-0283	Microsoft Windows 7 Professional x64	Room 116	5/28/2016 18:34	LENOVO	3212BJ7	AD\suschkiv	12/9/2013 0:00	11/28/2017 0:00	amcbride	Primary		Room 116
MJ19TZA	smgcrcws	QST-WD-0331	Microsoft Windows 7 Professional x64	122	4/14/2016 1:08	LENOVO	3212BJ7	AD\smgcrcws	11/29/2013 0:00	11/28/2017 0:00	rzsilver	Primary		122
MJ19TYX	smgcrcws	QST-WD-0281	Microsoft Windows 7 Professional x64		5/28/2016 19:17	LENOVO	3212BJ7	AD\smgcrcws	12/9/2013 0:00	11/28/2017 0:00	matychak	Shared		
MJ19TYZ	smrichar	QST-WD-0220	Microsoft Windows 7 Professional x64	135	5/28/2016 18:57	LENOVO	3212BJ7	AD\smrichar	12/9/2013 0:00	11/28/2017 0:00	matychak	Shared		135
C17FT9SBDH2G	jkissh	qst-ml-0002	Mac OS X 10.11.1 (x86_64)	333 A	1/15/2016 10:33	"Apple, Inc."	"MacBookPro8,1"		6/7/2011 0:00	6/6/2014 0:00	cbarrett	Loaner		333 A
MJ004NV4	ssrini	QST-WD-0311	Microsoft Windows 7 Professional x64	658C	5/28/2016 18:30	LENOVO	30A2A038US	AD\ssrini	12/29/2013 0:00	12/18/2017 0:00	ssrini	Primary	SMG657	658C
R8M3YZE	qstcloud	QST-WL-0060	Microsoft Windows 7 Enterprise x64	340 E	5/23/2016 10:34	LENOVO	4236GG9	AD\qstcloud	7/10/2011 0:00	7/9/2015 0:00	cbarrett	Loaner		340 E
MJ006KEJ	swatts	SMG645-1	Microsoft Windows 7 Enterprise x64		4/14/2016 0:58	LENOVO	30A2A038US	AD\swatts	1/19/2014 0:00	1/8/2018 0:00	swatts	Primary		
MJYWGX7	gdefronz	QST-WD-0315	Microsoft Windows 7 Professional x64	630 C	3/21/2016 23:02	LENOVO	4524A61	AD\gdefronz	7/2/2011 0:00	7/1/2015 0:00	gdefronz	Shared		630 C
2UA8291Q1B	reochoa	SMG610-3	Microsoft Windows 7 Enterprise x64	610	5/28/2016 18:55	Hewlett-Packard	HP xw4600 Workstation	AD\reochoa	7/23/2008 0:00	8/26/2013 0:00	telsey	Secondary		610
PK2P6Y8	kcurley	SMG612LT-1	Microsoft Windows 7 Enterprise x64		5/17/2016 1:58	LENOVO	3448AR2	AD\kcurley	2/12/2014 0:00	2/11/2018 0:00	kcurley	Primary		
C02M26W2F8J4	gtcomeau	SMG508CMAC	Mac OS X 10.9.5 (x86_64)		5/28/2016 18:57	"Apple, Inc."	"iMac14,2"		2/19/2014 0:00	2/18/2017 0:00	clehr	Primary		
2UA8291Q3R	ppereda	SMGSCANTRON	Microsoft Windows 7 Professional	626	5/28/2016 18:27	Hewlett-Packard	HP xw4600 Workstation	AD\ppereda	7/23/2008 0:00	8/26/2013 0:00	firefox	Shared		626
C02M64CLFH05	dell	SMG651MACLT-1	Mac OS X 10.9.5 (x86_64)		4/18/2016 22:15	"Apple, Inc."	"MacBookPro11,1"		2/19/2014 0:00	2/18/2017 0:00	dell	Primary		
C02M7WN2FH00	jfreedma	SMG631AMACLT-1	Mac OS X 10.10.5 (x86_64)		5/26/2016 21:05	"Apple, Inc."	"MacBookPro11,1"		2/19/2014 0:00	2/18/2017 0:00	jfreedma	Primary		
C02M7WN2FH00	jfreedma	SMG631ALT-1	Microsoft Windows 7 Enterprise x64		5/15/2016 17:26	Apple Inc.	"MacBookPro11,1"	AD\jfreedma	2/19/2014 0:00	2/18/2017 0:00	jfreedma	Primary		
37309640453	cbarrett	QST-WL-0066	Microsoft Windows 10 Enterprise x64	340	4/7/2016 20:20	Microsoft Corporation	Surface Pro 2	AD\cbarrett	5/19/2014 0:00	5/18/2015 0:00	cbarrett	Loaner		340
W895205Y8YB	mba	SMG110ALT-1	Microsoft Windows 7 Professional x64	110 A	5/19/2016 7:22	Apple Inc.	"MacBookPro5,2"	AD\mba	12/24/2009 0:00	12/23/2012 0:00	mcsiegel	Shared		110 A
2UA8300Z26	smgedrws	SMG555-1	Microsoft Windows 7 Professional	551	4/27/2016 13:28	Hewlett-Packard	HP xw4600 Workstation	AD\smgedrws	7/27/2008 0:00	8/2/2013 0:00	dthall	Shared		551
BSZZQF1	smgaccws	SMG520F-2	Microsoft Windows 7 Professional	520 F	5/28/2016 19:18	Dell Inc.	OptiPlex 755	AD\smgfedws	2/26/2008 0:00	2/26/2013 0:00	jmcgill	Shared		520 F
MJPBXNA	wysockip	SMG521	Microsoft Windows 7 Professional x64		5/28/2016 19:04	LENOVO	4524AY5	AD\wysockip	6/26/2012 0:00	6/25/2016 0:00	shamid	Primary		
2UA8500SY2	peggyw	SMG629-2	Microsoft Windows 7 Enterprise x64		5/28/2016 19:25	Hewlett-Packard	HP xw4600 Workstation	AD\peggyw	12/12/2008 0:00	1/5/2014 0:00	peggyw	Secondary		
MJ762AB	mbeucler	QST-WD-0018	Microsoft Windows 7 Professional x64	636A	7/17/2015 9:14	LENOVO	36901K3	AD\mdc	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762BL	tonikola	QST-WD-0001	Microsoft Windows 7 Professional x64	636A	6/4/2015 10:44	LENOVO	36901K3	AD\tonikola	5/16/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ761YX	mdc	QST-WD-0027	Microsoft Windows 7 Professional x64	636A	7/20/2015 11:27	LENOVO	36901K3	AD\mdc	5/16/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA8291Q1S	smgadmws	SMG504-6	Microsoft Windows 7 Professional	Room 504	5/28/2016 18:44	Hewlett-Packard	HP xw4600 Workstation	AD\smgadmws	7/23/2008 0:00	8/26/2013 0:00	mbda	Shared		Room 504
MJ00ERDU	sdavidso	SMG625-1	Microsoft Windows 7 Professional x64		5/28/2016 18:54	LENOVO	10A6A03RUS	AD\sdavidso	3/4/2014 0:00	3/3/2018 0:00	sdavidso	Primary		
2UA8291Q3P	smgupodb	QST-WK-0007	Microsoft Windows 7 Professional	102	5/10/2016 1:05	Hewlett-Packard	HP xw4600 Workstation	AD\smgupodb	7/23/2008 0:00	8/26/2013 0:00	normanb	Kiosk		102
C02M6KCTFH00	tsimcoe	SMG641MACLT-1	Mac OS X 10.11.5 (x86_64)		5/28/2016 14:48	"Apple, Inc."	"MacBookPro11,1"		2/7/2014 0:00	2/6/2017 0:00	tsimcoe	Secondary		
PF00SE9K	wsamuels	SMG530LT-1	Microsoft Windows 7 Enterprise x64		5/28/2016 19:06	LENOVO	20B7A05GUS	AD\wsamuels	3/6/2014 0:00	3/5/2018 0:00	wsamuels	Primary		
PF00QWV1	nedrimer	SMG568LT-1	Microsoft Windows 7 Enterprise x64		5/28/2016 15:58	LENOVO	20ARA05BUS	AD\nedrimer	3/5/2014 0:00	3/4/2018 0:00	nedrimer	Primary		
MJ00ERMW	pstation	QST-WK-0001	Microsoft Windows 10 Enterprise x64	328	5/28/2016 18:36	LENOVO	10A6A03RUS	AD\pstation	3/4/2014 0:00	3/3/2018 0:00	gdefronz	Kiosk		328
MJ00ERMV	mcpereir	SMG628-1	Microsoft Windows 7 Professional x64		5/28/2016 19:21	LENOVO	10A6A03RUS	AD\mcpereir	3/4/2014 0:00	3/3/2018 0:00	mcpereir	Primary		
MJ00ERMR	jmay1976	QST-WD-0329	Microsoft Windows 7 Professional x64	186A Copy Center	5/28/2016 19:16	LENOVO	10A6A03RUS	AD\jmay1976	3/4/2014 0:00	3/3/2018 0:00	jmay1976	Primary		186A Copy Center
MJ761YY	mdc	QST-WD-0026	Microsoft Windows 7 Professional x64	636A	7/20/2015 11:48	LENOVO	36901K3	AD\mdc	5/16/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ00ERMZ	smgembws	QST-WD-0214	Microsoft Windows 7 Professional x64		5/28/2016 19:07	LENOVO	10A6A03RUS	AD\smgembws	3/4/2014 0:00	3/3/2018 0:00	sharper	Shared		
2UA8500SXM	smgdnows	QST-WD-0233	Microsoft Windows 7 Professional	504	5/6/2016 1:04	Hewlett-Packard	HP xw4600 Workstation	AD\smgdnows	12/12/2008 0:00	1/5/2014 0:00	mbda	Shared		504
PK0CP7P	qstcloud	QST-WL-0062	Microsoft Windows 7 Enterprise x64	328	5/26/2016 1:47	LENOVO	2355BE3	AD\qstcloud	8/12/2013 0:00	8/11/2017 0:00	cbarrett	Loaner		328
MJ00G03S	rebitzer	SMG637A-1	Microsoft Windows 7 Enterprise x64	637 A	4/8/2016 1:02	LENOVO	30A2A038US	AD\rebitzer	3/12/2014 0:00	3/11/2018 0:00	rebitzer	Primary		637 A
2UA8291Q14	questromupows	SMG102-5	Microsoft Windows 7 Enterprise x64	102	5/28/2016 19:18	Hewlett-Packard	HP xw4600 Workstation	AD\questromupows	7/23/2008 0:00	8/26/2013 0:00	normanb	Shared		102
2UA8291Q1G	linnane	QST-WD-0255	Microsoft Windows 7 Enterprise x64	102	5/28/2016 19:01	Hewlett-Packard	HP xw4600 Workstation	AD\linnane	7/23/2008 0:00	8/26/2013 0:00	rreiser	Shared		102
MJ00ERMX	Administrator	QST-WD-0254	Microsoft Windows 7 Enterprise x64		12/9/2015 16:27	LENOVO	10A6A03RUS	QST-WD-0254\istds-admin	3/4/2014 0:00	3/3/2018 0:00	dorise	Secondary		
MJ00ERN0	jmay1976	QST-WD-0327	Microsoft Windows 7 Enterprise x64	186A Copy Center	5/28/2016 19:14	LENOVO	10A6A03RUS	AD\jmay1976	3/4/2014 0:00	3/3/2018 0:00	rgriffin	Primary		186A Copy Center
2UA8500SXL	prrusso	SMG502B	Microsoft Windows 7 Professional	502B	9/2/2015 14:27	Hewlett-Packard	HP xw4600 Workstation	AD\prrusso	12/12/2008 0:00	1/5/2014 0:00	mbda	Shared		502B
8HB9SF1	sina	SMG618	Microsoft Windows 7 Enterprise x64	618	10/25/2015 10:39	Dell Inc.	OptiPlex 755	AD\sina	3/4/2008 0:00	3/4/2013 0:00	curtisja	Shared		618
2UA8291Q34	harneyb	SMG650A-1	Microsoft Windows 7 Enterprise x64	650 A	5/27/2016 17:03	Hewlett-Packard	HP xw4600 Workstation	AD\harneyb	7/23/2008 0:00	8/26/2013 0:00	sandrak	Shared		650 A
MJYWGX4	smgitsse	QST-WD-0205	Microsoft Windows 10 Enterprise x64	342	5/28/2016 18:53	LENOVO	4524A61	AD\smgitsse	7/2/2011 0:00	7/1/2015 0:00	markks	Shared		342
2UA8500SXT	sandrak	QST-WD-0312	Microsoft Windows 7 Enterprise x64	570	5/28/2016 18:57	Hewlett-Packard	HP xw4600 Workstation	AD\sandrak	12/12/2008 0:00	1/5/2014 0:00	akarpovs	Primary		570
C02MG32XF6T6	Joseph	SMG663MACLT	Mac OS X 10.10.5 (x86_64)	663	5/28/2016 17:16	"Apple, Inc."	"MacBookAir6,2"		3/28/2014 0:00	3/27/2017 0:00	jres	Secondary		663
MJ00ESAG	furman	QST-WD-0249	Microsoft Windows 7 Enterprise x64	653A	5/28/2016 18:28	LENOVO	M93P10A6TA3	AD\furman	3/4/2014 0:00	3/3/2018 0:00	furman	Primary		653A
MJ00LA11	colliera	QST-WD-0243	Microsoft Windows 7 Professional x64		12/22/2015 15:00	LENOVO	10A6A03RUS	AD\colliera	4/3/2014 0:00	4/2/2018 0:00	cthorn	Primary		
MJ00ERMN	hoganjl	QST-WD-0236	Microsoft Windows 7 Professional x64	506	4/12/2016 14:14	LENOVO	10A6A03RUS	AD\hoganjl	3/4/2014 0:00	3/3/2018 0:00	hoganjl	Primary		506
C02MJ4SVFH00	carlile	smg635maclt-1	Mac OS X 10.9.5 (x86_64)		5/28/2016 18:37	"Apple, Inc."	"MacBookPro11,1"		4/10/2014 0:00	4/9/2017 0:00	carlile	Primary		
C02J51UADRVG	mva	SMG649MACLT-1	Mac OS X 10.10.5 (x86_64)		5/28/2016 16:08	"Apple, Inc."	"MacBookAir5,2"		8/2/2012 0:00	8/1/2015 0:00	mva	Secondary		
2UA05023JR	istds-admin	SMG630E-2	Microsoft Windows 7 Professional x64		12/8/2015 10:04	Hewlett-Packard	HP Z200 Workstation	SMG630E-2\istds-admin	12/21/2010 0:00	1/24/2016 0:00	seaholm	Secondary		
D25FN0Q2DHJV	carla	QST-MD-0105	Mac OS X 10.10.5 (x86_64)	629	5/28/2016 16:24	"Apple, Inc."	"iMac12,2"		5/6/2011 0:00	5/5/2014 0:00	carla	Secondary		629
C02MG1E1F8J4	jrdixon	SMG661AMAC	Mac OS X 10.9.5 (x86_64)		5/28/2016 19:49	"Apple, Inc."	"iMac14,2"		4/24/2014 0:00	4/23/2017 0:00	jrdixon	Primary		
R9PDGK3	fatema1	SMGLOANERLT-18	Microsoft Windows 7 Professional x64	340	5/26/2016 12:48	LENOVO	4243FW3	AD\fatema1	6/11/2012 0:00	6/10/2016 0:00	cbarrett	Loaner		340
2UA8291Q30	bsr143ws	SMG143BSR404	Microsoft Windows 7 Professional	404	5/26/2016 0:08	Hewlett-Packard	HP xw4600 Workstation	AD\bsr143ws	7/23/2008 0:00	8/26/2013 0:00	ianmash	Shared		404
2UA8291Q3Z	bsr143ws	SMG143BSR402	Microsoft Windows 7 Enterprise x64	402	4/28/2016 15:51	Hewlett-Packard	HP xw4600 Workstation	AD\bsr143ws	7/23/2008 0:00	8/26/2013 0:00	ianmash	Shared		402
2UA8291Q2J	bsr143ws	SMG143BSR403	Microsoft Windows 7 Enterprise x64	403	5/28/2016 18:55	Hewlett-Packard	HP xw4600 Workstation	AD\bsr143ws	7/23/2008 0:00	8/29/2011 0:00	ianmash	Shared		403
2UA8291Q25	sclorkin	SMG143BSR401	Microsoft Windows 7 Enterprise x64	401	5/28/2016 18:35	Hewlett-Packard	HP xw4600 Workstation	AD\sclorkin	7/23/2008 0:00	8/29/2011 0:00	ianmash	Shared		401
PK0CP7R	qstcloud	QST-WL-0046	Microsoft Windows 7 Enterprise x64	340E	5/24/2016 12:24	LENOVO	2355BE3	AD\qstcloud	8/12/2013 0:00	8/11/2017 0:00	cbarrett	Loaner		340E
37171240453	qstcloud	QST-WL-0053	Microsoft Windows 10 Enterprise x64	340	3/15/2016 17:14	Microsoft Corporation	Surface Pro 2	AD\qstcloud	5/19/2014 0:00	5/18/2015 0:00	cbarrett	Loaner		340
PK0CP7N	qstcloud	QST-WL-0047	Microsoft Windows 7 Enterprise x64	340 E	5/6/2016 13:56	LENOVO	2355BE3	AD\qstcloud	8/12/2013 0:00	8/11/2017 0:00	cbarrett	Loaner		340 E
C02MN1S1FH00	pmorriso	SMG627AMACLT-1	Mac OS X 10.11.4 (x86_64)		5/17/2016 15:55	"Apple, Inc."	"MacBookPro11,1"		6/3/2014 0:00	6/2/2017 0:00	pmorriso	Secondary		
MJ00ERMQ	dparker	SMG601-1	Microsoft Windows 7 Professional x64		6/12/2015 11:21	LENOVO	10A6A03RUS	AD\dparker	3/4/2014 0:00	3/3/2018 0:00	dparker	Primary		
C02MV4A8FD56	fatema1	SMG548AMACLT-1	Mac OS X 10.9.5 (x86_64)		5/28/2016 19:39	"Apple, Inc."	"MacBookPro11,2"		6/14/2014 0:00	6/13/2017 0:00	fatema1	Primary		
R902ECAN	skahn	SMG518CLT-1	Microsoft Windows 7 Enterprise x64		5/28/2016 19:04	LENOVO	20A8A0A5US	AD\skahn	6/26/2014 0:00	6/26/2017 0:00	skahn	Primary		
5134140253	gdefronz	SMG636ALT-1	Microsoft Windows 8.1 Pro x64		5/7/2016 16:26	Microsoft Corporation	Surface Pro 2	AD\gdefronz	4/10/2014 0:00	4/9/2015 0:00	gdefronz	Secondary		
R902ECAP	fournism	SMG663ALT	Microsoft Windows 7 Enterprise x64		4/6/2016 0:15	LENOVO	20A8A0A5US	AD\fournism	6/18/2014 0:00	6/17/2018 0:00	fournism	Primary		
HH2GYZ1	pcortes	SMG639LT-3	Microsoft Windows 7 Professional x64		5/22/2016 11:14	Dell Inc.	Dell Precision M3800	AD\pcortes	5/5/2014 0:00	5/5/2017 0:00	pcortes	Secondary		
MJ762AD	vany	QST-WD-0028	Microsoft Windows 7 Professional x64	636A	7/20/2015 11:48	LENOVO	36901K3	AD\vany	5/16/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
C02MW308F8J4	yfchen	SMG630CMAC-3	Mac OS X 10.10.5 (x86_64)	630 C	5/28/2016 18:56	"Apple, Inc."	"iMac14,2"		6/20/2014 0:00	6/19/2017 0:00	gdefronz	Shared		630 C
C02MV88XF6T6	morewedg	SMG614MACLT-1	Mac OS X 10.9.5 (x86_64)		5/14/2016 3:43	"Apple, Inc."	"MacBookAir6,2"		6/16/2014 0:00	6/15/2017 0:00	morewedg	Primary		
34699442453	ren	SMG655LT-2	Microsoft Windows 8.1 Pro x64	655	5/28/2016 15:54	Microsoft Corporation	Surface Pro 3	AD\ren	9/12/2014 0:00	9/11/2015 0:00	ren	Secondary		655
C02MW30RF8J4	stevexyc	SMG630CMAC-4	Mac OS X 10.10.5 (x86_64)	630 C	5/26/2016 1:43	"Apple, Inc."	"iMac14,2"		6/20/2014 0:00	6/19/2017 0:00	gdefronz	Shared		630 C
H0133160EUG	smgcomws	SMG510DMAC-1	Mac OS X 10.7.5 (x86_64)	510 D	5/26/2016 15:07	"Apple, Inc."	"MacPro5,1"		8/11/2011 0:00	8/10/2014 0:00	adean	Shared		510 D
9JB9SF1	mpmcdono	SMG668-2	Microsoft Windows 7 Enterprise x64		5/27/2016 10:43	Dell Inc.	OptiPlex 755	AD\mpmcdono	3/4/2008 0:00	3/4/2013 0:00	drewq	Shared		
D25FN0U9DHJV	arashid	SMG509-1	Microsoft Windows 7 Professional	509	5/19/2016 1:14	Apple Inc.	"iMac12,2"	AD\smgguest	5/6/2011 0:00	5/5/2014 0:00	gdefronz	Shared		509
PF02NFXG	phyll	SMG548DLT	Microsoft Windows 7 Enterprise x64		5/28/2016 18:37	LENOVO	20ARS0DM00	AD\phyll	7/15/2014 0:00	7/14/2018 0:00	phyll	Primary		
R9ZP6A0	qstcloud	QST-WL-0067	Microsoft Windows 7 Enterprise x64	340	4/20/2016 7:33	LENOVO	3448AR2	AD\qstcloud	7/14/2013 0:00	7/3/2017 0:00	cbarrett	Loaner		340
